,date,temp_C,precip_mm,wind_avg_ms,sun_hours,humidity_pct,visibility_min_m,visibility_max_m
24390,2017-10-11,14.8,3.6,8.6,0.0,83.0,7000.0,25000.0
24391,2017-10-12,13.5,0.0,6.8,5.5,76.0,14000.0,37000.0
24392,2017-10-13,15.2,0.0,6.0,3.7,88.0,5000.0,25000.0
24393,2017-10-14,15.2,0.0,4.6,6.7,88.0,1700.0,25000.0
24394,2017-10-15,16.0,0.0,4.0,9.5,85.0,700.0,27000.0
24395,2017-10-16,18.2,0.0,5.0,8.2,81.0,9000.0,32000.0
24396,2017-10-17,12.9,0.0,4.0,0.7,82.0,11000.0,27000.0
24397,2017-10-18,14.3,0.0,2.3,7.1,87.0,4100.0,14000.0
24398,2017-10-19,16.0,2.3,4.2,5.0,83.0,1900.0,25000.0
24399,2017-10-20,13.5,7.4,7.9,2.2,85.0,3700.0,25000.0
24400,2017-10-21,12.9,3.3,7.6,5.0,80.0,12000.0,32000.0
24401,2017-10-22,11.5,10.7,8.0,1.2,86.0,5500.0,25000.0
24402,2017-10-23,12.8,0.5,6.0,5.4,82.0,1500.0,32000.0
24403,2017-10-24,15.4,0.6,6.8,0.0,93.0,1600.0,20000.0
24404,2017-10-25,14.1,-0.1,6.0,3.1,87.0,500.0,25000.0
24405,2017-10-26,13.8,0.0,4.0,2.4,87.0,2100.0,25000.0
24406,2017-10-27,11.7,2.5,5.4,5.9,77.0,18000.0,25000.0
24407,2017-10-28,13.0,-0.1,9.5,0.0,80.0,11000.0,25000.0
24408,2017-10-29,10.4,1.1,7.9,5.2,72.0,11000.0,25000.0
24409,2017-10-30,8.3,0.1,3.0,5.3,79.0,15000.0,37000.0
24410,2017-10-31,11.0,0.1,4.8,0.0,85.0,11000.0,25000.0
24411,2017-11-01,11.6,-0.1,4.6,0.8,86.0,4100.0,25000.0
24412,2017-11-02,9.7,-0.1,3.1,1.8,87.0,7000.0,25000.0
24413,2017-11-03,9.5,0.0,2.5,0.8,88.0,2900.0,47000.0
24414,2017-11-04,10.8,2.8,4.8,1.6,89.0,5500.0,20000.0
24415,2017-11-05,7.6,3.5,3.4,2.6,83.0,12000.0,25000.0
24416,2017-11-06,6.0,0.2,2.1,6.0,84.0,13000.0,42000.0
24417,2017-11-07,4.2,0.0,1.9,8.0,88.0,100.0,28000.0
24418,2017-11-08,6.2,0.1,2.0,0.0,93.0,200.0,8000.0
24419,2017-11-09,8.8,3.7,4.2,2.5,92.0,1900.0,37000.0
24420,2017-11-10,9.3,1.6,7.6,4.3,76.0,5500.0,25000.0
24421,2017-11-11,7.7,0.5,4.8,2.4,78.0,20000.0,32000.0
24422,2017-11-12,6.0,5.1,3.8,1.1,84.0,8000.0,32000.0
24423,2017-11-13,6.9,0.8,4.1,5.7,78.0,15000.0,25000.0
24424,2017-11-14,8.1,2.5,4.5,0.8,92.0,1900.0,20000.0
24425,2017-11-15,10.0,1.4,3.8,0.0,97.0,400.0,5500.0
24426,2017-11-16,9.5,1.1,3.9,0.0,95.0,900.0,17000.0
24427,2017-11-17,6.1,0.0,2.6,5.8,80.0,13000.0,42000.0
24428,2017-11-18,7.6,6.5,6.7,0.7,75.0,3900.0,47000.0
