,object_id,weekday_2023,weekday_2022,weekday_2021,weekday_2020,weekday_2019,weekday_2018,weekday_2017,location_code,wkt_lng_lat,wkt_lat_lng,longitude,latitude,geometry
15,16,6410,6239,5192,0,3060,3468,3241,VRA01_0018,POINT(4.922871 52.33644),POINT(52.33644 4.922871),4.922871,52.33644,POINT (123353.0395194885 483269.5554763105)
16,17,13811,12730,12915,0,15931,17204,15985,VRA01_0019,POINT(4.915084 52.34565),POINT(52.34565 4.915084),4.915084,52.34565,POINT (122828.9902817023 484297.7112576821)
17,18,1761,2240,1380,0,2250,2431,2312,VRA01_0020,POINT(4.939441 52.329604),POINT(52.329604 4.939441),4.939441,52.329604,POINT (124477.6716553688 482501.8602969845)
18,19,561,713,650,0,1180,0,947,VRA01_0021,POINT(4.92993 52.319723),POINT(52.319723 4.92993),4.92993,52.319723,POINT (123822.4142064304 481406.5247910973)
19,20,5951,5208,4824,0,6650,8152,5947,VRA01_0022,POINT(4.929527 52.319623),POINT(52.319623 4.929527),4.929527,52.319623,POINT (123794.8671225975 481395.5719566335)
20,21,2298,3879,2869,0,4442,4413,0,VRA01_0023,POINT(4.917127 52.324168),POINT(52.324168 4.917127),4.917127,52.324168,POINT (122952.7030251297 481906.667719314)
21,22,5994,6427,4517,0,6544,6003,5515,VRA01_0024,POINT(4.896576 52.333144),POINT(52.333144 4.896576),4.896576,52.333144,POINT (121558.4215402212 482914.6396278319)
22,23,1838,1405,1223,0,0,0,1416,VRA01_0027,POINT(4.871724 52.314241),POINT(52.314241 4.871724),4.871724,52.314241,POINT (119849.5553836477 480823.212535102)
23,24,1870,1561,1281,0,0,0,1432,VRA01_0028,POINT(4.871182 52.314064),POINT(52.314064 4.871182),4.871182,52.314064,POINT (119812.4568201745 480803.7821492327)
24,25,3001,2061,1813,0,0,1842,2213,VRA01_0029,POINT(4.868456 52.297196),POINT(52.297196 4.868456),4.868456,52.297196,POINT (119613.1451914026 478928.3513206604)
25,26,3303,1905,1581,0,0,1567,1777,VRA01_0030,POINT(4.867901 52.29729),POINT(52.29729 4.867901),4.867901,52.29729,POINT (119575.3607340672 478939.0808830484)
26,27,0,0,0,820,1536,1400,1212,VRA01_0032,POINT(4.813186 52.312098),POINT(52.312098 4.813186),4.813186,52.312098,POINT (115856.0328848485 480614.773252139)
27,28,2106,2312,1929,0,2324,2359,2084,VRA01_0033,POINT(4.85579 52.31823),POINT(52.31823 4.85579),4.85579,52.31823,POINT (118766.2870255007 481274.8795971734)
28,29,842,887,0,0,1101,0,0,VRA01_0034,POINT(4.846862 52.396076),POINT(52.396076 4.846862),4.846862,52.396076,POINT (118222.1255458814 489940.7092930233)
29,30,1030,1260,0,0,1096,0,0,VRA01_0035,POINT(4.83708 52.40452),POINT(52.40452 4.83708),4.83708,52.40452,POINT (117563.4655330813 490885.2262565984)
30,31,1383,1688,0,0,1232,1154,1170,VRA01_0036,POINT(4.882799 52.411288),POINT(52.411288 4.882799),4.882799,52.411288,POINT (120679.8962593554 491615.6187547201)
31,32,2640,3264,0,0,3399,3399,3243,VRA01_0038,POINT(4.827153 52.426905),POINT(52.426905 4.827153),4.827153,52.426905,POINT (116907.1861192847 493381.0359333426)
32,33,2693,2819,0,0,3749,3664,3427,VRA01_0041,POINT(4.81106 52.44469),POINT(52.44469 4.81106),4.81106,52.44469,POINT (115828.3496832307 495368.4476636701)
33,34,2620,2989,0,0,3722,3254,3177,VRA01_0042,POINT(4.81035 52.44486),POINT(52.44486 4.81035),4.81035,52.44486,POINT (115780.2286546904 495387.7467581712)
34,35,2821,3376,0,0,3443,3261,3132,VRA01_0043,POINT(4.805132 52.471531),POINT(52.471531 4.805132),4.805132,52.471531,POINT (115449.3169915289 498358.1162972866)
35,36,1095,1312,0,0,1486,1427,1415,VRA01_0044,POINT(4.789621 52.490396),POINT(52.490396 4.789621),4.789621,52.490396,POINT (114412.7137077771 500465.7099311779)
